Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion,Order_Date,Delivery_Date,,
1,C037,67,5,2/24/2023,23:48:13,5/3/2023,7:27:10,Bardhaman,Anniversary,24/2/2023,5/3/2023,,
2,C019,41,2,7/11/2023,23:30:18,13/11/2023,7:16:17,Jaipur,Diwali,7/11/2023,13/11/2023,,
3,C029,67,5,7/14/2023,19:12:03,19/7/2023,17:39:00,Bilaspur,Anniversary,14/7/2023,19/7/2023,,
4,C012,14,5,10/7/2023,4:44:29,19/7/2023,6:33:23,Guwahati,Birthday,10/7/2023,19/7/2023,,
5,C078,58,2,11/2/2023,19:44:48,18/2/2023,11:08:52,Rajkot,Valentine's Day,11/2/2023,18/2/2023,,
6,C040,28,4,8/20/2023,22:11:35,26/8/2023,19:06:46,Sirsa,Raksha Bandhan,20/8/2023,26/8/2023,,
7,C009,45,2,8/5/2023,1:45:13,13/5/2023,10:07:17,Nanded,Birthday,8/5/2023,13/5/2023,,
8,C097,43,3,8/11/2023,19:20:02,14/11/2023,8:44:45,Morena,Diwali,8/11/2023,14/11/2023,,
9,C044,27,4,8/20/2023,23:39:51,29/8/2023,23:59:54,Rajkot,Raksha Bandhan,20/8/2023,29/8/2023,,
10,C099,56,3,2/26/2023,0:17:26,8/3/2023,20:47:43,Ambala,Anniversary,26/2/2023,8/3/2023,,
11,C065,16,4,2/3/2023,20:14:55,3/3/2023,23:19:47,Belgaum,Holi,2/3/2023,3/3/2023,,
12,C097,38,3,12/7/2023,8:28:56,20/7/2023,23:34:57,Karnal,Birthday,12/7/2023,20/7/2023,,
13,C024,20,3,2/24/2023,16:47:16,4/3/2023,2:27:37,Gandhidham,Anniversary,24/2/2023,4/3/2023,,
14,C042,60,1,8/11/2023,3:46:06,15/11/2023,12:08:02,Bilaspur,Diwali,8/11/2023,15/11/2023,,
15,C069,21,5,8/26/2023,2:52:39,30/8/2023,13:26:45,Pune,Raksha Bandhan,26/8/2023,30/8/2023,,
16,C013,20,3,2/16/2023,15:06:11,20/2/2023,22:14:21,Khammam,Anniversary,16/2/2023,20/2/2023,,
17,C056,60,2,4/11/2023,11:31:33,13/11/2023,18:40:13,Kota,Diwali,4/11/2023,13/11/2023,,
18,C072,23,4,10/12/2023,10:46:15,11/12/2023,0:20:29,Moradabad,Anniversary,10/12/2023,11/12/2023,,
19,C072,62,4,7/3/2023,7:59:48,8/3/2023,3:04:34,Vijayanagaram,Holi,7/3/2023,8/3/2023,,
20,C011,52,1,11/2/2023,14:36:57,14/2/2023,1:34:16,Madurai,Valentine's Day,11/2/2023,14/2/2023,,
21,C090,32,1,9/2/2023,11:20:52,12/2/2023,11:36:26,Bathinda,Birthday,9/2/2023,12/2/2023,,
22,C054,43,1,9/11/2023,1:05:28,14/11/2023,9:49:47,Tenali,Diwali,9/11/2023,14/11/2023,,
